33244606;01/01/17;31/12/17;0;0;0;0;0;0;0
38513524;23/03/17;31/12/17;-50.000;-50.000;0;0;;;
25789822;01/01/16;31/12/16;--88.750;75.666;227.354;155.666;71.688;;
25607155;01/01/16;31/12/16;-88.968;75.904;227.555;155.904;71.651;;
25607430;01/01/16;31/12/16;88.749;75.726;227.490;155.727;71.763;;
25607120;01/01/16;31/12/16;88.735;75.718;227.532;155.717;71.815;;
25458966;01/01/16;31/12/16;88.729;75.701;227.513;155.702;71.811;;
26322871;01/01/16;31/12/16;89.495;75.763;227.306;155.751;71.555;;
27092764;01/01/17;31/12/17;0;0;0;0;0;0;0
26322723;01/01/16;31/12/16;87.119;73.869;224.888;153.867;71.021;;
26321301;01/01/16;31/12/16;84.973;71.655;222.267;151.654;70.613;;
