30575822;01/01/17;31/12/17;24.857;14.407;975.000;99.807;257.724;583.766;33.703
27527140;01/01/16;31/12/16;86.060;72.493;221.286;152.494;68.792;;
26321336;01/01/16;31/12/16;86.244;72.643;221.259;152.642;68.617;;
25607449;01/01/16;31/12/16;85.646;72.271;226.250;152.271;73.979;;
25786882;01/01/16;31/12/16;81.996;69.322;219.568;149.321;70.247;;
25786262;01/01/16;31/12/16;81.239;70.137;219.530;150.138;69.392;;
26322847;01/01/16;31/12/16;82.040;69.320;217.214;149.319;67.895;;
28965923;01/01/16;31/12/16;;-1.314.725;39.140.296;39.066.130;64.761;;9.405
28965915;01/01/16;31/12/16;43.967;-694.494;44.670.905;44.624.361;46.544;;
25819284;01/01/16;31/12/16;83.027;71.154;286.133;151.154;134.979;;
27526926;01/01/16;31/12/16;85.674;73.205;285.794;153.205;132.589;;
27526950;01/01/16;31/12/16;86.069;72.515;221.312;152.514;68.798;;
25787285;01/01/16;31/12/16;86.015;72.562;226.329;152.563;73.766;;
25607600;01/01/16;31/12/16;86.004;72.620;231.165;152.622;78.543;;
25607252;01/01/16;31/12/16;86.007;72.559;226.633;152.559;74.074;;
25817079;01/01/16;31/12/16;85.704;72.253;226.230;152.252;73.978;;
25819314;01/01/16;31/12/16;85.793;72.325;226.394;152.323;74.071;;
25819233;01/01/16;31/12/16;85.775;72.311;226.378;152.311;74.067;;
26322065;01/01/16;31/12/16;86.032;72.896;221.816;152.896;68.920;;
25458923;01/01/16;31/12/16;85.798;72.809;226.297;152.809;73.488;;
27170803;01/01/17;31/12/17;467.183;-77.625;1.320.617;82.453;622.799;535.054;80.311
25607201;01/01/16;31/12/16;86.049;73.015;226.574;153.014;73.560;;
25607589;01/01/16;31/12/16;85.809;72.342;225.486;152.343;73.143;;
25607465;01/01/16;31/12/16;85.998;72.985;227.180;152.986;74.194;;
32061974;01/01/17;31/12/17;-3.625;7.019;276.994;243.588;33.406;;
86645912;01/01/17;31/12/17;2.786.282;2.451.539;10.886.778;5.701.526;3.234.967;1.802.929;129.356
32062113;01/01/17;31/12/17;-3.624;5.838;276.994;242.705;34.289;;
25460936;01/01/16;31/12/16;81.139;70.055;219.390;150.055;69.335;;
32665179;01/01/17;31/12/17;674.572;199.768;845.825;-96.021;941.846;;
25790189;01/01/16;31/12/16;81.052;69.988;219.294;149.988;69.306;;
27527051;01/01/16;31/12/16;81.107;70.002;218.090;150.001;68.089;;
27526993;01/01/16;31/12/16;81.106;70.001;218.090;150.001;68.089;;
27526802;01/01/16;31/12/16;81.107;70.002;218.092;150.003;68.089;;
31745047;01/01/17;31/12/17;-3.365;569.042;1.359.170;950.666;408.504;;
27527094;01/01/16;31/12/16;80.677;69.587;217.343;149.586;67.757;;
39038285;01/01/17;31/12/17;;0;189.091;182.091;7.000;;0
39108712;22/11/17;31/12/17;;-4.913;300.002;-4.911;3.125;301.788;
37347043;06/01/16;31/12/16;-43.487;-45.787;0;0;0;0;0
35041249;01/01/16;31/12/16;0;0;0;0;0;;
37690767;01/01/17;31/12/17;0;0;0;0;0;0;
30178971;01/01/16;31/12/16;895.645;39.914;1.127.184;94.150;479.337;558.037;-4.340
29771804;01/01/17;31/12/17;-9.111;-219.777;516.745;-1.627.135;2.143.880;;
26982944;01/01/16;31/12/16;9.468;290;0;0;0;0;0
28849826;01/01/17;31/12/17;4.970.399;-1.464.698;5.406.128;-396.228;5.802.356;;0
32155138;01/01/17;31/12/17;634.241;-625.604;5.619.227;5.321.394;297.833;;0
30516907;01/01/17;31/12/17;;-4.960;1.525.534;1.521.534;4.000;;
34706166;01/01/16;31/12/16;-674.999;-580.809;1.738.737;78.318;1.660.419;;
34093008;01/01/16;31/12/16;-763.184;-690.653;1.438.343;992.251;446.092;;
34092125;01/01/16;31/12/16;-6.469;-1.372.047;2.370.827;-574.017;2.944.844;;
36433469;01/01/16;31/12/16;-4.755;125.663;349.791;342.876;6.915;;
30800745;01/01/17;31/12/17;0;0;0;0;;;
46418212;01/01/17;31/12/17;0;0;0;0;;;
37284319;01/01/17;31/12/17;-9.375;-9.375;126;-9.275;;9.401;
